,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
zephoria       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.80E+01,8.73E+02,5.58E+02,7.11E+02,3.13E+02,1.81E+02,1.61E+02,2.09E+02,1.47E+02
neha           ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E+02,4.13E+02,8.11E+02,5.45E+02,3.67E+02,2.39E+02,2.81E+02,1.98E+02,1.13E+02
smith          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.45E+02,2.36E+02,0.00E+00,0.00E+00,1.80E+01,1.90E+01,2.30E+01
anshul         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.30E+01,2.00E+00,0.00E+00
gleemie        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.46E+03,1.71E+03
odannyboy      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E+03
cameronmarlow  ,4.00E+00,1.90E+01,0.00E+00,1.50E+01,1.29E+02,2.00E+00,6.00E+00,5.00E+00,1.80E+01,2.00E+00,1.00E+00,1.80E+01,2.90E+01,4.70E+01
rsa            ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E+03,6.71E+02,7.27E+02
mathiaslux     ,1.00E+00,1.60E+01,2.00E+00,8.00E+00,2.02E+02,6.30E+01,4.80E+01,2.20E+01,1.90E+01,2.20E+01,2.10E+01,4.90E+01,3.50E+01,3.80E+01
kortuem        ,1.00E+00,0.00E+00,0.00E+00,7.90E+01,7.10E+01,1.13E+02,7.60E+01,1.40E+01,1.19E+02,6.50E+01,6.00E+00,6.00E+01,6.70E+01,2.00E+01
t              ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E+02,5.19E+02,3.59E+02,4.83E+02,7.30E+02,3.94E+02,2.48E+02,3.16E+02
danja          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E+03,2.49E+02,3.90E+02,3.59E+02,1.11E+03
benward        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E+02,1.08E+03,1.31E+03,6.85E+02
adverteasement ,0.00E+00,0.00E+00,0.00E+00,2.69E+02,4.09E+02,5.82E+02,7.54E+02,3.30E+02,1.76E+02,6.40E+01,9.70E+01,7.00E+00,1.16E+02,4.05E+02
edd            ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.60E+02,5.40E+02,5.70E+02,5.69E+02,4.35E+02,4.40E+02
iand           ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.13E+02,2.91E+03
daveying99     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.47E+02,4.06E+02,3.41E+02,6.55E+02,9.72E+02
patrickgage    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.93E+02,8.02E+02,4.69E+02,1.04E+03,4.44E+02,1.00E+00
codepo8        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.24E+03
al3x           ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,9.40E+01,2.60E+01
drossy         ,8.00E+00,1.56E+02,1.37E+02,2.79E+02,1.46E+02,7.60E+01,6.10E+01,9.10E+01,3.90E+01,2.80E+01,2.00E+01,6.00E+00,3.00E+00,2.00E+00
PaulDJohnston  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+03
niftyc         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.96E+02,7.14E+02,6.34E+02,1.02E+03
rb             ,9.00E+00,1.08E+02,5.91E+02,1.36E+02,1.60E+01,1.29E+02,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
cdibona        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.52E+02,2.56E+03
